job_role,soft_skills,question_id,question
Product Manager,Leadership;Communication;Decision Making,1,Kamu sedang memimpin tim dengan pendapat yang saling bertentangan. Bagaimana cara kamu mengambil keputusan?
Product Manager,Leadership;Communication;Decision Making,2,"Stakeholder utama ingin fitur besar dirilis cepat, tetapi tim merasa tidak siap. Apa yang kamu lakukan?"
Product Manager,Leadership;Communication;Decision Making,3,Tim mengalami keterlambatan sprint. Bagaimana kamu menyampaikan ini ke manajemen?
Product Manager,Leadership;Communication;Decision Making,4,Ada dua fitur penting tapi hanya bisa mengerjakan satu. Bagaimana kamu memprioritaskan?
Product Manager,Leadership;Communication;Decision Making,5,Kamu mendapat feedback negatif dari tim. Bagaimana kamu merespons?
Data Analyst,Critical Thinking;Attention to Detail;Communication,1,Kamu menerima data mentah yang tidak terstruktur. Apa langkah pertama yang kamu ambil?
Data Analyst,Critical Thinking;Attention to Detail;Communication,2,Hasil analisismu bertentangan dengan hipotesis manajemen. Bagaimana kamu menyampaikannya?
Data Analyst,Critical Thinking;Attention to Detail;Communication,3,Ada anomali dalam data. Apa yang kamu lakukan untuk memastikannya?
Data Analyst,Critical Thinking;Attention to Detail;Communication,4,Atasan meminta laporan yang harus dipresentasikan ke klien. Bagaimana kamu mempersiapkannya?
Data Analyst,Critical Thinking;Attention to Detail;Communication,5,Kamu diberikan data yang sangat besar dan diminta insight dalam waktu singkat. Apa strategimu?
Software Developer,Problem Solving;Collaboration;Adaptability,1,Tim menggunakan teknologi baru yang belum kamu kuasai. Apa tindakanmu?
Software Developer,Problem Solving;Collaboration;Adaptability,2,Ada bug mendesak di sistem produksi. Apa langkah pertama yang kamu ambil?
Software Developer,Problem Solving;Collaboration;Adaptability,3,Rekanmu menulis kode yang sulit dipahami. Bagaimana kamu mengatasinya?
Software Developer,Problem Solving;Collaboration;Adaptability,4,Kamu diberi deadline sangat ketat untuk fitur besar. Bagaimana kamu menyikapinya?
Software Developer,Problem Solving;Collaboration;Adaptability,5,Kamu tidak setuju dengan solusi teknis yang diusulkan tim. Apa yang kamu lakukan?
Database Administrator,Accuracy;Accountability;Problem Solving,1,Sistem database lambat dan user komplain. Apa yang kamu periksa terlebih dahulu?
Database Administrator,Accuracy;Accountability;Problem Solving,2,Backup database terakhir ternyata gagal. Apa langkah darurat yang kamu ambil?
Database Administrator,Accuracy;Accountability;Problem Solving,3,Kamu menemukan kesalahan konfigurasi pada sistem produksi. Apa yang kamu lakukan?
Database Administrator,Accuracy;Accountability;Problem Solving,4,Tim developer sering mengakses database langsung. Apa saranmu?
Database Administrator,Accuracy;Accountability;Problem Solving,5,Ada kebutuhan mendesak untuk migrasi database ke sistem baru. Bagaimana kamu mempersiapkannya?
Customer Service,Empathy;Communication;Patience,1,Pelanggan marah besar karena kesalahan sistem. Bagaimana kamu merespons secara profesional?
Customer Service,Empathy;Communication;Patience,2,Kamu mendapat pelanggan yang mengeluh tentang hal di luar kendalimu. Apa yang kamu katakan?
Customer Service,Empathy;Communication;Patience,3,Ada antrean panjang dan kamu kewalahan. Bagaimana kamu tetap menjaga layanan baik?
Customer Service,Empathy;Communication;Patience,4,Seorang pelanggan tidak bisa memahami instruksi yang kamu berikan. Apa pendekatanmu?
Customer Service,Empathy;Communication;Patience,5,Pelanggan memberikan rating buruk padahal kamu merasa sudah membantu maksimal. Apa yang kamu lakukan?
